Text;Date;Time;Draft;Facebook;Twitter;LinkedIn;GBP;Instagram;Pinterest;TikTok;YouTube;Threads;Bluesky;Picture Url 1;Picture Url 2;Shortener;Instagram Post Type;Facebook Post Type;First Comment Text
"Begriff erklärt: Registerstand.

Auf über 227.000 Profilen bei MainProfil steht ein Satz wie dieser: „Registerdaten vom … · seitdem nicht vom Unternehmen bestätigt.“

Das Datum darin ist der Registerstand. Die Angaben stammen aus öffentlichen Registerdaten (OpenCorporates / offeneregister.de) aus den Jahren 2017 bis 2019 – sie können also längst überholt sein.

Geraderücken kann das nur das Unternehmen selbst: Profil kostenlos übernehmen, Angaben berichtigen und mit heutigem Datum bestätigen. Wer das nicht möchte, lässt die Angaben korrigieren oder das Profil entfernen.

Tippen Sie Ihren Firmennamen ein und sehen Sie nach, welcher Stand bei Ihnen steht. Speichern für später.

https://mainprofil.com/ig/uebernehmen

#Registerdaten #Unternehmensprofil #Aktualität #KMU #MainProfil";2026-10-08;08:15:00;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-ig-01.png;;FALSE;POST;;
"Ab 2027 müssen Unternehmen mit mehr als 800.000 Euro Vorjahresumsatz im Inland B2B-Rechnungen elektronisch ausstellen, ab 2028 alle. Empfangen können muss man sie schon seit Januar 2025.

Das ist mehr als ein Formatwechsel. Bei der PDF-Rechnung liest ein Mensch mit. Er erkennt, dass „Beispiel Haustechnik GmbH“ und „Beispiel Haustechnik GmbH & Co. KG“ vermutlich dasselbe Unternehmen sind – und bucht trotzdem. Bei einer strukturierten Rechnung gleicht zuerst ein System die Angaben mit den Stammdaten ab. Abweichende Firmierung, alte Anschrift, fehlende USt-IdNr.: Die Verarbeitung hält an, und die Klärung kommt später statt früher.

Viele Abweichungen, die jahrelang niemandem aufgefallen sind, werden damit sichtbar. Nicht, weil sie neu sind, sondern weil jetzt eine Maschine vergleicht.

Der beste Zeitpunkt, Firmierung, Anschrift und Steuerangaben auf einen datierten Stand zu bringen, liegt deshalb vor der Umstellung – nicht danach.

Wie bereiten Sie Ihre Lieferanten- und Kundenstammdaten auf die E-Rechnung vor?

https://mainprofil.com/li

#ERechnung #Stammdaten #Rechnungswesen #Mittelstand #MainProfil";2026-10-08;08:45:00;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-li-01.png;;FALSE;;;
"An alle, die gerade gründen: Die ersten Angaben entstehen meistens nebenbei. Die Handynummer auf die Visitenkarte, die private Mail ins Impressum, die Wohnadresse als Sitz. Das funktioniert – bis zum ersten Umzug, zum ersten Kollegen am Telefon, zum ersten Wechsel der Rechtsform.

Drei Dinge, die das leichter machen:

1. Funktion statt Privatnummer. Eine Rufnummer und ein Postfach, die zur Firma gehören, nicht zur Person.

2. Eine Adresse, auf die alles zeigt. Visitenkarte, Flyer und E-Mail-Signatur verweisen auf dieselbe Stelle – ändert sich etwas, ändert es sich dort.

3. Von Anfang an mit Datum. Wer jede Angabe mit Stand führt, sieht später, was sich wann geändert hat – und andere sehen es auch.

Was hätten Sie in Ihrem ersten Jahr gern von Anfang an anders angelegt?

https://mainprofil.com/fb

#Gründung #Startup #Unternehmensdaten #Selbstständig #MainProfil";2026-10-08;10:30:00;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-fb-01.png;;FALSE;;POST;
"Mythos: „Steuernummer und USt-ID – ist doch dasselbe.“

Fakt: Es sind zwei verschiedene Nummern. Die Steuernummer vergibt das Finanzamt. Die Umsatzsteuer-Identifikationsnummer vergibt das Bundeszentralamt für Steuern – gebraucht wird sie vor allem im Handel innerhalb der EU.

Auf eine Rechnung gehört eine von beiden. Welche dort steht und ob sie zu Ihren übrigen Angaben passt, fällt dem Empfänger auf.

Ein Grund mehr, beide an einer Stelle mit Datum zu führen.

Speichern – für die nächste Rechnungsvorlage.

https://mainprofil.com/ig

#Rechnung #Steuernummer #Buchhaltung #Selbstständig #MainProfil";2026-10-08;11:45:00;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-ig-02.png;;FALSE;POST;;
"Eine Lieferantenakte ist nie fertig. Sie veraltet nicht auf einmal, sondern Nachweis für Nachweis.

Vier Beispiele, die im Einkauf regelmäßig nachgefordert werden:

Die Freistellungsbescheinigung nach § 48b EStG für Bauleistungen – sie wird befristet ausgestellt.

Die Unbedenklichkeitsbescheinigung der Berufsgenossenschaft – sie trägt ein Ausstellungsdatum, und ab einem gewissen Alter wird eine neue verlangt.

Der Nachweis der Betriebshaftpflicht – gültig bis zum Ende der Versicherungsperiode.

Und die unabhängige Verifizierung eines Unternehmensprofils: Das Siegel „Unabhängig verifiziert“ trägt ein Ablaufdatum und wird danach neu geprüft, nicht verlängert. Es ersetzt keinen der anderen Nachweise – es zeigt, ob Identität und Angaben zum Stichtag geprüft wurden.

Gemeinsam ist allen vieren: Ihr Wert hängt am Datum, nicht am Vorhandensein.

Wie behalten Sie im Einkauf den Überblick, welche Nachweise wann ablaufen?

https://mainprofil.com/li

#Einkauf #Lieferantenmanagement #Compliance #Nachweise #MainProfil";2026-10-08;12:30:00;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-li-02.png;;FALSE;;;
"Heute ist Donnerstag – und für viele Marktbeschicker heißt das: anderer Ort als vorgestern.

Dienstag der Stadtteilmarkt, Donnerstag der Wochenmarkt im Nachbarort, Samstag der große Markt in der Innenstadt. Für die Stammkundschaft ist das klar. Für alle anderen ist es ein Rätsel, das sich mit einer Suche selten löst: Die Website nennt nur den Samstag, ein Portal den alten Standplatz, und ob im Winter noch alle drei Tage gelten, steht nirgends.

Was hilft, ist eine Stelle, an der alles zusammensteht: welcher Tag, welcher Ort, welche Uhrzeit – und seit wann das so gilt. Dann lässt sich auch ein Ausfall oder eine Winterpause an einer Stelle ankündigen statt an dreien.

Kaufen Sie auf dem Wochenmarkt – und wissen Sie, wo Ihr Lieblingsstand an den anderen Tagen steht?

https://mainprofil.com/fb

#Wochenmarkt #Direktvermarktung #Unternehmensdaten #Regional #MainProfil";2026-10-08;13:30:00;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-fb-02.png;;FALSE;;POST;
"Nichts hat sich geändert? Dann ist genau jetzt der Moment, das zu sagen.

So ja: auch Unverändertes neu bestätigen. Einen festen Termin dafür setzen. Jede Angabe kurz lesen, dann bestätigen. Das Datum sichtbar lassen.

So nicht: nur dann etwas anfassen, wenn sich etwas ändert. „Stimmt schon noch“ sagen, ohne nachzusehen. Das Datum verstecken.

Für jemanden, der Sie prüft, ist „bestätigt vor einer Woche“ eine andere Auskunft als „zuletzt geändert 2021“ – auch wenn der Inhalt derselbe ist.

Speichern und den nächsten Bestätigungstermin eintragen.

https://mainprofil.com/ig

#Aktualität #Unternehmensdaten #Tipps #KMU #MainProfil";2026-10-08;15:15:00;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-ig-03.png;;FALSE;POST;;
"Wer im Einkauf oder in der Compliance einen Geschäftspartner prüft, fängt meist bei denselben drei Angaben an: Rechtsform, Registernummer mit Registergericht, vertretungsberechtigte Person.

Im MainProfil-Profil steht bei diesen Angaben nicht nur der Inhalt, sondern zweierlei, das sonst fehlt:

Die Herkunft. Registerangaben stammen aus öffentlichen Registerdaten (OpenCorporates / offeneregister.de) und sind als solche gekennzeichnet.

Das Datum der Bestätigung. Hat das Unternehmen sein Profil übernommen, bestätigt es diese Angaben selbst – mit Datum. Bis dahin steht dort, von wann die Registerdaten stammen und dass sie seitdem nicht vom Unternehmen bestätigt wurden.

Getrennt davon zeigt das Siegel „Unabhängig verifiziert“, ob das Unternehmen unabhängig geprüft wurde – befristet, nicht kaufbar, vom Tarif getrennt.

So lässt sich auf einen Blick unterscheiden: Was sagt das Register, was sagt das Unternehmen, was wurde geprüft – und wann.

Welche dieser drei Ebenen ist für Ihre Prüfung die entscheidende?

https://mainprofil.com/li

#Compliance #Einkauf #Registerdaten #Verifizierung #MainProfil";2026-10-08;16:15:00;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-li-03.png;;FALSE;;;
"Eine kleine Aufgabe für den Feierabend: Holen Sie eine Ihrer Visitenkarten aus der Schublade und lesen Sie sie, als wäre es die eines Fremden.

Stimmt die Nummer noch – oder steht da das Festnetz, an das seit Monaten niemand mehr geht? Ist die Adresse die von vor dem Umzug? Heißt Ihre Funktion noch so, wie sie gedruckt ist?

Visitenkarten sind ehrlich: Sie zeigen genau den Stand, an dem sie gedruckt wurden. Nur steht dieser Stand nicht darauf.

Ein Ausweg ohne Neudruck: eine dauerhafte Adresse auf der Karte, hinter der die Angaben mit Datum gepflegt werden. Dann darf die Karte alt werden.

Und – was stand auf Ihrer Karte, das nicht mehr stimmt?

https://mainprofil.com/fb

#Visitenkarte #Unternehmensdaten #Handwerk #Selbstständig #MainProfil";2026-10-08;17:00:00;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-fb-03.png;;FALSE;;POST;
"Zwölf Wochen bis zum Jahreswechsel.

Genau jetzt entstehen die Vorlagen fürs neue Jahr: Kalender, Briefköpfe, Rechnungsvorlagen, Preislisten. Was dabei an alten Angaben hineinwandert, steht dort zwölf Monate.

Deshalb lohnt sich der Blick vorher: Firmierung, Anschrift, Ansprechpartner, Bankverbindung – einmal lesen, einmal bestätigen, mit Datum.

Folgen für weitere kurze Checks bis zum Jahresende.

https://mainprofil.com/ig

#Jahresende #Unternehmensdaten #Aktualität #KMU #MainProfil";2026-10-08;18:45:00;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;https://raw.githubusercontent.com/mainprofil-app/mainprofil-social-assets/main/2026-10-08/2026-10-08-ig-04.png;;FALSE;POST;;
