Text;Date;Time;Draft;Facebook;Twitter;LinkedIn;GBP;Instagram;Pinterest;TikTok;YouTube;Threads;Bluesky;Picture Url 1;Picture Url 2;Shortener;Instagram Post Type;Facebook Post Type;First Comment Text
"Eine Angabe wird nicht dadurch geprüft, dass sie öffentlich steht.

Auf der Website, im Branchenbuch, im Social-Profil – alles sichtbar, alles „offiziell“ wirkend. Geprüft hat es niemand.

Geprüft ist eine Angabe erst, wenn ein Unabhängiger sie gegen Register und Nachweise gehalten hat.";2026-09-22;08:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Was steht über Ihr Unternehmen auf der ersten Suchergebnisseite?

Ihre Website? Ein Branchenbuch von 2018? Ein Bewertungsportal, in dem Sie nie waren?

Sie bestimmen nicht, was Seite 1 zeigt. Aber Sie können bestimmen, wohin alles verweist.";2026-09-22;09:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Begriff des Tages: Registernummer (HRA/HRB).

HRA für Einzelkaufleute und Personengesellschaften, HRB für Kapitalgesellschaften – zusammen mit dem Registergericht ist sie der eindeutigste Schlüssel zu einem Unternehmen.

Sie gehört ins Impressum, auf die Rechnung – und an jede Stelle, an der jemand Sie eindeutig identifizieren soll.";2026-09-22;11:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Tipp: Schreiben Sie die Firmierung überall exakt so, wie sie im Register steht.

Nicht „Müller Bau“, wenn dort „Müller Bau GmbH & Co. KG“ steht. Nicht „GmbH“ ohne das „& Co. KG“.

Jede Abweichung ist eine Rückfrage. Jede Rückfrage ist ein Tag Verzögerung.";2026-09-22;12:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Sie finden ein Profil Ihres Unternehmens, das Sie nicht angelegt haben. Drei Wege:

1. Übernehmen – kostenlos, ohne Kreditkarte, dann ergänzen, was nur Sie wissen.
2. Korrigieren lassen – wenn eine Angabe aus den Registerdaten nicht mehr stimmt.
3. Entfernen lassen – auch ohne Konto.

Alle drei sind auf MainProfil vorgesehen. Kein Druck, keine Frist.

https://mainprofil.com/th/uebernehmen";2026-09-22;14:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"„Datenqualität ist ein IT-Thema.“

Die IT kann Felder anlegen. Ob im Feld „Ansprechpartner Buchhaltung“ noch die richtige Person steht, weiß nur die Buchhaltung.

Datenqualität entsteht dort, wo die Daten entstehen. Nicht dort, wo sie gespeichert werden.";2026-09-22;15:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Messe. Sie geben eine Visitenkarte ab. Im Zug zurück sucht der Kontakt Ihre Firma.

Er findet: einen anderen Namen als auf der Karte, weil Sie letztes Jahr umfirmiert haben.

Er ist nicht misstrauisch. Er ist nur nicht mehr sicher. Und Unsicherheit ruft selten zurück.";2026-09-22;17:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Was Compliance von einem neuen Geschäftspartner sehen will:

– Wer ist das Unternehmen? (Register)
– Wer vertritt es? (Register)
– Wo sitzt es? (Anschrift, nicht Postfach)
– Wann wurde das zuletzt geprüft? (Datum)
– Von wem? (Unabhängig oder selbst?)

Fünf Fragen. Alle beantwortbar, bevor jemand fragt.";2026-09-22;18:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Gastronomie-Klassiker: Die Speisekarte ist online. Die Öffnungszeiten stehen an der Tür.

Der Gast sieht die Karte um 20 Uhr, kommt um 21 Uhr – Küche seit 20:30 geschlossen.

Karte, Zeiten, Reservierung, Kontakt: an einer Adresse, mit Datum. Der Rest verweist.";2026-09-22;20:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Registrieren. Veröffentlichen. Verifizieren.

Drei Schritte, die oft in einen Topf geworfen werden.

Registrieren: Konto anlegen.
Veröffentlichen: Angaben sichtbar machen – Selbstauskunft.
Verifizieren: Ein Unabhängiger bestätigt Identität und Registerdaten.

Erst der dritte Schritt macht aus einer Aussage einen Nachweis.";2026-09-22;21:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Wen rufen Ihre Kunden an, wenn Ihre Nummer nicht stimmt?

Nicht Sie. Das ist ja das Problem.

Sie rufen den nächsten Treffer an. Und der hat vielleicht eine richtige Nummer.";2026-09-23;07:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Die beste Bewertung ist eine geprüfte Angabe.

Fünf Sterne sagen: Jemandem hat es gefallen.
Eine verifizierte Identität sagt: Dieses Unternehmen existiert so, wie es auftritt – bestätigt von einem Unabhängigen, mit Datum.

Beides hat seinen Platz. Nur eines davon kann man nicht kaufen.";2026-09-23;09:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Begriff des Tages: Aktualitätsdatum.

Das Datum, an dem eine Angabe zuletzt bestätigt wurde – pro Angabe, nicht pauschal fürs ganze Profil.

„Stand: 2024“ unter der Seite sagt wenig. „Öffnungszeiten bestätigt 23.09.2026“ sagt alles.";2026-09-23;10:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Umfirmiert? Drei Stellen, die zuerst stimmen müssen:

1. Das Impressum – Pflicht.
2. Die Rechnungsvorlage – sonst bleibt Geld liegen.
3. Die eine Adresse, auf die alles andere verweist.

Den Rest – Branchenbücher, Portale, Kartendienste – arbeiten Sie danach ab. Oder verweisen einfach.";2026-09-23;12:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"„Wer nichts zu verbergen hat, braucht keine Verifizierung.“

Die Verifizierung ist nicht für Sie. Sie ist für die, die Sie nicht kennen.

Sie wissen, dass Ihr Unternehmen echt ist. Der Einkäufer in einer anderen Stadt weiß es nicht – und darf es auch nicht einfach glauben.";2026-09-23;13:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Ein Angebot über 40.000 Euro. Fachlich das beste im Vergleich.

Abgelehnt – formal. Die Firmierung auf dem Angebot stimmt nicht mit dem Registerauszug überein, den die Vergabestelle gezogen hat.

Kein böser Wille. Nur ein „& Co. KG“, das im Briefkopf fehlte.";2026-09-23;15:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Fünf Angaben, die nie „auf Anfrage“ sein sollten:

– Firmierung und Rechtsform
– Registernummer
– Sitz
– Wer vertreten darf
– Wer erreichbar ist

Wer das erst auf Nachfrage rausgibt, hat die Nachfrage schon verloren.

https://mainprofil.com/th";2026-09-23;16:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Wer einen Pflegedienst sucht, sucht selten in Ruhe. Angehörige nach dem Krankenhaus, Kostenträger vor der Bewilligung.

Dann müssen fünf Angaben sofort stimmen: Träger, Pflegedienstleitung, Versorgungsgebiet, Erreichbarkeit außerhalb der Bürozeiten – und das Datum, wann das zuletzt bestätigt wurde.";2026-09-23;18:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Unternehmensangaben in Ausschreibungen:

So nicht: aus der letzten Bewerbung kopieren.
So nicht: „siehe Website“.

So ja: Firmierung, Register, Vertretung exakt wie im Registerauszug – und eine Adresse angeben, an der die Vergabestelle das mit Datum nachprüfen kann.";2026-09-23;19:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Vier Rollen lesen dasselbe Unternehmensprofil:

Der Kunde fragt: Gibt es euch, wer hilft mir?
Der Einkauf fragt: Stimmt das mit dem Register?
Die Bank fragt: Wer darf unterschreiben?
Der Partner fragt: Ist das noch aktuell?

Ein Profil. Vier Antworten. Wenn es gut gemacht ist.";2026-09-23;21:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Vertrauen ist keine Charakterfrage. Es ist eine Infrastrukturfrage.

Niemand vertraut einem Unternehmen, weil es nett wirkt. Man vertraut, weil man nachprüfen kann – schnell, an einer Stelle, mit Datum.

Wer diese Infrastruktur baut, muss weniger überzeugen.";2026-09-24;08:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Was passiert mit Ihrem Profil, wenn Sie nichts mehr pflegen?

Nichts Dramatisches. Die Daten bleiben. Nur das Datum altert – sichtbar für jeden.

„Zuletzt bestätigt vor 14 Monaten“ ist ehrlicher als jede Seite ohne Datum. Und es erinnert Sie daran, dass es Zeit wird.";2026-09-24;09:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Begriff des Tages: Impressumspflicht.

Wer geschäftsmäßig online auftritt, muss Name, Anschrift, Kontakt, Vertretung, Register und Registernummer nennen – auch auf Social-Profilen.

Das Impressum ist die Mindestangabe. Das Profil ist die gepflegte Version davon: dieselben Daten, mit Datum und Prüfung.";2026-09-24;11:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Tipp: Verknüpfen Sie Bewertungen mit geprüften Angaben.

Bewertungen zeigen, wie Kunden Sie erleben. Geprüfte Angaben zeigen, dass es Sie so wirklich gibt.

Ein Kunde, der beides an einer Stelle findet, braucht keinen dritten Klick mehr.";2026-09-24;12:30:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
"Öffentliche Registerdaten haben Ihr Profil angelegt. Den Rest kennen nur Sie.

Firmierung und Registernummer stehen da – aus OpenCorporates / offeneregister.de, gekennzeichnet als „Noch nicht vom Inhaber bestätigt“.

Was fehlt: Ansprechpartner, Leistungen, Zeiten. Kostenlos übernehmen und ergänzen – oder korrigieren bzw. entfernen lassen. Die Übernahme wird geprüft, damit niemand ein fremdes Profil übernimmt.

https://mainprofil.com/th/uebernehmen";2026-09-24;14:00:00;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;FALSE;;;
